user,item,Time
5030,1661,"02 9, 2014"
13931,14986,"11 11, 2016"
4209,7576,"01 25, 2014"
5304,3295,"08 18, 2014"
7511,12393,"02 20, 2016"
9137,1258,"03 9, 2013"
3130,4035,"02 4, 2017"
3309,10780,"01 22, 2015"
8009,2650,"12 24, 2014"
13028,8524,"06 28, 2017"
14342,10586,"08 22, 2016"
7379,5658,"07 30, 2013"
1851,140,"01 15, 2012"
9385,2335,"05 17, 2014"
1379,4158,"06 22, 2017"
4019,1704,"01 25, 2009"
2847,2711,"06 30, 2017"
9,4037,"07 21, 2013"
11471,7789,"07 10, 2015"
7242,4504,"11 2, 2012"
1705,4647,"02 26, 2012"
5635,4661,"08 23, 2012"
2481,8533,"01 27, 2016"
10612,11301,"05 25, 2016"
10647,6089,"08 19, 2014"
13848,9723,"10 26, 2012"
9736,9860,"03 4, 2013"
11114,2260,"02 1, 2012"
8241,14023,"08 15, 2015"
379,747,"03 29, 2014"
11458,2726,"09 17, 2016"
12866,10135,"12 1, 2015"
5328,6106,"12 2, 2013"
14066,9728,"10 7, 2015"
5476,2468,"10 19, 2010"
5116,9249,"01 22, 2016"
7722,13770,"10 23, 2017"
14145,5649,"09 14, 2013"
528,1626,"11 18, 2015"
11770,5610,"06 3, 2015"
1567,15216,"08 2, 2015"
8824,4919,"09 27, 2013"
5591,7408,"05 17, 2013"
13908,11984,"05 28, 2015"
10419,8842,"05 1, 2012"
5085,397,"10 10, 2011"
2068,1255,"08 19, 2014"
13170,13503,"10 31, 2016"
11778,3180,"09 23, 2014"
1446,6116,"10 4, 2006"
7409,10100,"07 11, 2013"
2932,11632,"11 20, 2015"
132,9694,"05 30, 2017"
9494,15017,"11 28, 2014"
5081,6663,"03 25, 2014"
15021,14409,"08 23, 2017"
9645,8076,"03 30, 2015"
8752,9412,"08 6, 2017"
12103,4098,"07 20, 2014"
11810,4285,"07 13, 2012"
12816,13347,"05 24, 2016"
8182,11586,"12 3, 2015"
2378,5268,"04 21, 2015"
13944,12972,"07 20, 2017"
14606,6332,"02 2, 2015"
7975,6599,"04 17, 2015"
1976,1691,"09 24, 2014"
285,8,"03 23, 2006"
6239,649,"11 2, 2015"
1941,1719,"07 10, 2011"
9916,4240,"06 1, 2012"
2663,4665,"03 26, 2011"
703,33,"11 24, 2015"
2853,11595,"09 10, 2015"
6665,707,"04 8, 2015"
10711,8885,"09 16, 2016"
2753,11945,"03 1, 2015"
11222,3235,"02 25, 2017"
8450,11793,"03 29, 2016"
13530,9250,"07 5, 2015"
8860,6947,"04 27, 2016"
6382,10219,"03 10, 2015"
13084,8109,"10 11, 2017"
4458,412,"02 20, 2017"
5285,1568,"02 17, 2013"
6590,8428,"08 4, 2016"
7641,11717,"12 7, 2014"
8267,13521,"11 28, 2017"
626,1420,"02 13, 2017"
7604,15198,"04 17, 2015"
1346,449,"08 11, 2010"
11512,2658,"03 1, 2017"
8238,11514,"10 27, 2014"
1984,9892,"05 11, 2013"
1370,5435,"07 14, 2017"
9139,6838,"01 6, 2015"
7174,790,"06 5, 2013"
5536,13254,"06 7, 2014"
9173,2863,"10 27, 2016"
11389,9468,"08 12, 2012"
8049,6894,"12 26, 2014"
4611,12986,"07 21, 2014"
7005,10074,"05 12, 2016"
4175,3954,"07 11, 2001"
14268,6383,"09 14, 2012"
7233,7649,"02 9, 2017"
14709,9946,"09 6, 2016"
3828,15166,"10 10, 2012"
1987,2617,"07 25, 2013"
12782,4668,"07 15, 2017"
6526,9317,"05 20, 2015"
586,1492,"09 28, 2009"
1842,113,"08 5, 2014"
8342,1965,"05 19, 2016"
3055,10464,"12 4, 2012"
383,10252,"03 19, 2018"
1295,10579,"03 20, 2013"
7617,2492,"01 3, 2013"
13919,6644,"07 9, 2013"
1692,4248,"02 3, 2016"
1406,6114,"03 17, 2007"
6323,4479,"10 10, 2013"
5527,464,"06 1, 2014"
15036,11826,"03 28, 2016"
14140,7892,"06 14, 2013"
10443,3950,"05 16, 2013"
7787,12578,"09 2, 2017"
7134,13912,"10 15, 2013"
1611,664,"11 11, 2012"
2621,2686,"04 27, 2017"
3359,11710,"12 21, 2014"
9046,8009,"08 20, 2017"
1721,4084,"06 27, 2014"
3359,10116,"04 18, 2015"
12497,7198,"04 14, 2013"
2470,9844,"06 8, 2016"
5429,13148,"03 4, 2013"
3634,3750,"12 25, 2013"
8684,13408,"09 23, 2017"
901,2471,"07 10, 2012"
5354,1924,"11 12, 2016"
7310,2557,"09 1, 2013"
12554,7277,"04 5, 2014"
8043,12193,"08 22, 2015"
11381,5426,"09 13, 2015"
1221,15057,"02 8, 2011"
993,326,"03 4, 2005"
8959,1215,"03 24, 2004"
3314,14806,"03 6, 2015"
9812,7520,"10 25, 2014"
12500,10298,"02 19, 2016"
3039,10384,"05 18, 2015"
4256,9233,"12 8, 2013"
8930,9562,"11 13, 2017"
10877,3409,"10 13, 2015"
3391,1650,"04 29, 2017"
6455,4945,"02 12, 2015"
11766,9849,"08 30, 2011"
12595,9843,"03 22, 2013"
7614,7964,"02 12, 2014"
6539,12351,"12 11, 2015"
14655,7299,"01 8, 2015"
1927,10063,"10 17, 2013"
3720,11787,"04 1, 2018"
2039,6176,"01 18, 2013"
8670,1248,"07 25, 2014"
7383,2155,"04 24, 2013"
46,3264,"07 7, 2009"
6515,13277,"06 28, 2017"
6018,8846,"01 5, 2015"
8179,10369,"04 27, 2014"
3418,598,"01 19, 2014"
13052,7785,"08 12, 2014"
7118,12199,"01 18, 2016"
3631,9356,"05 24, 2014"
9166,13345,"05 27, 2014"
5332,7300,"11 5, 2015"
3366,10860,"02 26, 2014"
3813,12892,"03 24, 2018"
10910,11522,"08 29, 2014"
12426,5735,"12 8, 2013"
7726,889,"07 16, 2014"
11035,13088,"05 11, 2016"
12569,7948,"05 6, 2015"
7511,5636,"04 23, 2013"
7765,11869,"02 1, 2017"
2367,2615,"04 9, 2016"
7448,13847,"03 12, 2017"
2470,11072,"06 8, 2014"
2586,4159,"10 24, 2016"
2142,388,"04 20, 2011"
5293,10174,"08 19, 2012"
12740,10493,"12 10, 2017"
3387,5985,"04 20, 2017"
14957,10588,"02 13, 2014"
1740,4049,"12 11, 2014"
8146,6768,"05 12, 2016"
6918,10112,"01 7, 2015"
4550,13006,"09 2, 2015"
2464,2648,"02 27, 2015"
8222,9602,"03 12, 2015"
11593,7185,"04 10, 2016"
4336,755,"12 9, 2014"
8779,8380,"05 24, 2016"
5486,9483,"10 8, 2013"
14241,12320,"08 18, 2016"
8169,4563,"03 10, 2017"
7982,7095,"04 7, 2013"
11460,9805,"06 12, 2013"
11815,3025,"11 23, 2014"
5743,12172,"10 28, 2015"
9937,14843,"03 16, 2015"
11269,10070,"11 23, 2016"
8802,4125,"10 8, 2015"
4556,10430,"06 15, 2013"
12007,9850,"01 2, 2017"
6541,11860,"07 9, 2015"
3386,8990,"08 25, 2015"
8790,4821,"01 29, 2016"
8175,8832,"09 6, 2016"
8703,1200,"06 26, 2014"
9904,11665,"09 7, 2017"
261,8983,"03 19, 2015"
10489,8046,"03 28, 2016"
2776,164,"04 26, 2016"
12150,3219,"06 10, 2015"
3337,2646,"10 27, 2013"
2992,8908,"06 11, 2014"
9602,7180,"05 7, 2014"
10041,1666,"04 11, 2013"
7386,9932,"07 6, 2014"
10755,2234,"09 30, 2017"
9236,5261,"01 6, 2014"
8441,7849,"06 9, 2014"
277,1169,"09 5, 2011"
11141,7252,"07 12, 2016"
979,2916,"06 29, 2002"
13241,9642,"07 24, 2015"
14785,14527,"01 4, 2018"
8587,13026,"11 15, 2016"
11882,3134,"07 30, 2015"
13302,8020,"01 28, 2014"
12708,11754,"10 29, 2014"
4829,7449,"09 7, 2017"
560,253,"05 10, 2008"
11056,13049,"10 12, 2009"
3920,14946,"02 21, 2018"
13024,13496,"10 18, 2016"
14386,12050,"10 28, 2017"
2079,674,"07 15, 2014"
8100,13080,"07 19, 2015"
7164,10737,"10 28, 2016"
13991,11796,"07 14, 2017"
6066,1816,"05 7, 2017"
6726,2767,"05 6, 2017"
3309,5014,"05 3, 2015"
478,7935,"08 23, 2013"
13787,8268,"01 12, 2017"
1611,4438,"01 3, 2013"
4370,4133,"05 30, 2017"
10496,10040,"01 28, 2014"
1968,8529,"05 19, 2016"
15299,14565,"03 13, 2018"
9783,11204,"02 9, 2014"
10528,11429,"12 4, 2016"
11850,7827,"08 12, 2013"
1831,3948,"09 25, 2014"
2064,9790,"07 7, 2017"
2420,3170,"11 22, 2014"
2127,10477,"08 13, 2014"
8992,8988,"11 5, 2014"
3344,5080,"01 11, 2016"
14890,10698,"06 26, 2012"
554,1149,"05 1, 2008"
4634,14274,"08 24, 2016"
14410,11765,"12 28, 2014"
11192,13648,"08 17, 2014"
12935,11758,"11 15, 2014"
762,1153,"07 13, 2014"
3767,1365,"09 11, 2017"
2406,10649,"03 15, 2014"
1547,10456,"01 10, 2013"
14754,7511,"01 20, 2015"
13543,8375,"03 6, 2016"
10750,2039,"09 25, 2014"
3342,12083,"06 5, 2015"
12800,4684,"10 22, 2016"
7591,11001,"05 3, 2018"
14586,14377,"11 2, 2017"
7382,13812,"10 12, 2013"
7588,10562,"11 25, 2013"
3378,919,"02 3, 2015"
2815,1982,"09 17, 2012"
3560,7916,"02 4, 2016"
14629,11165,"09 27, 2015"
3288,14416,"11 1, 2017"
1502,9933,"07 27, 2015"
13798,7230,"01 26, 2018"
6582,9261,"08 4, 2017"
6515,10656,"02 8, 2016"
12040,10375,"07 23, 2013"
2762,8258,"04 15, 2015"
2263,1207,"01 10, 2002"
3440,9575,"11 30, 2016"
1952,3114,"07 27, 2017"
465,7329,"04 28, 2016"
356,1863,"09 28, 2001"
7908,8533,"06 29, 2015"
13509,13864,"04 19, 2017"
11042,6479,"02 25, 2013"
13295,5510,"10 9, 2013"
10335,3694,"02 13, 2018"
4897,8718,"07 17, 2014"
11131,14290,"09 10, 2017"
5703,4852,"10 4, 2009"
9359,12868,"07 8, 2017"
3727,11556,"11 14, 2014"
6167,2864,"07 25, 2016"
1223,599,"02 13, 2011"
856,3002,"07 30, 2007"
2676,150,"04 30, 2014"
14400,11357,"08 28, 2014"
4258,7329,"05 16, 2017"
1034,1418,"10 24, 2013"
4299,6066,"11 14, 2014"
5634,13216,"10 9, 2013"
2242,1726,"01 25, 2014"
1370,1762,"11 3, 2017"
11770,14767,"02 10, 2015"
12510,7130,"07 16, 2017"
14083,12534,"08 10, 2016"
9180,6130,"05 6, 2016"
14724,14441,"09 25, 2017"
7647,10790,"02 14, 2018"
6355,2187,"01 23, 2014"
4572,13878,"06 25, 2015"
1198,57,"01 2, 2013"
4572,11082,"09 16, 2014"
4849,11739,"08 21, 2016"
4511,3412,"10 12, 2014"
12051,6824,"11 2, 2014"
12157,4996,"01 22, 2014"
3743,1002,"02 21, 2018"
5648,8649,"12 28, 2011"
8563,12215,"01 29, 2017"
11697,6413,"08 4, 2017"
5129,6660,"11 27, 2016"
12023,9015,"03 1, 2018"
9212,7862,"08 31, 2014"
9334,4026,"07 22, 2014"
5519,7411,"01 17, 2012"
10612,7038,"08 24, 2016"
11008,6969,"12 17, 2015"
224,2224,"12 27, 2016"
13346,10067,"11 7, 2013"
10156,8203,"02 8, 2016"
2321,3187,"08 28, 2012"
14809,11295,"11 24, 2015"
1546,2522,"06 6, 2009"
5416,3690,"05 25, 2014"
946,819,"08 24, 2013"
6475,14553,"03 8, 2018"
8456,12521,"06 13, 2016"
3367,945,"11 10, 2014"
13432,4952,"06 22, 2015"
7069,3746,"12 30, 2013"
5029,14946,"06 2, 2015"
3342,9628,"08 23, 2016"
7515,12875,"01 2, 2018"
338,3178,"01 21, 2016"
7216,13313,"03 18, 2015"
7488,11833,"03 31, 2016"
487,4860,"04 21, 2011"
10044,13783,"01 27, 2015"
9761,9955,"01 27, 2015"
250,1771,"04 30, 2016"
8679,2094,"09 19, 2017"
12649,11090,"08 27, 2015"
2343,333,"05 31, 2015"
13657,6272,"04 4, 2014"
10978,7460,"05 8, 2015"
6516,7811,"03 15, 2013"
6939,3049,"10 22, 2012"
10588,11788,"03 16, 2018"
12152,12531,"08 17, 2016"
10038,7776,"02 15, 2015"
5875,753,"05 25, 2016"
8192,10485,"10 5, 2015"
5951,1644,"01 16, 2015"
13124,8979,"07 13, 2014"
3975,3370,"11 24, 2012"
2879,335,"08 9, 2013"
1268,2830,"08 20, 2001"
2821,3722,"02 7, 2013"
2964,4885,"09 23, 2012"
4716,336,"06 24, 2009"
14191,7734,"04 4, 2017"
1743,7486,"09 16, 2014"
4129,1939,"09 16, 2017"
8515,13730,"06 12, 2015"
14147,13393,"11 14, 2014"
10641,6567,"04 2, 2016"
7372,1637,"04 28, 2013"
9,4092,"01 7, 2013"
2616,150,"07 9, 2014"
1770,3631,"08 13, 2013"
2847,6795,"08 27, 2016"
1611,9843,"06 11, 2012"
7736,12208,"11 30, 2014"
37,2795,"04 16, 2002"
15326,12732,"10 28, 2016"
2958,174,"03 3, 2015"
11126,13994,"10 5, 2017"
14288,8963,"05 21, 2016"
1987,120,"01 16, 2013"
1486,3723,"01 12, 2010"
3410,2702,"12 16, 2017"
4903,1613,"06 22, 2015"
7952,7965,"08 29, 2013"
1378,1136,"02 27, 2013"
34,2193,"05 9, 2002"
7608,4430,"09 9, 2014"
15001,13643,"10 18, 2016"
12381,5639,"05 7, 2013"
9730,4040,"02 10, 2014"
2772,11487,"03 28, 2015"
1060,3710,"05 1, 2017"
7325,7924,"08 25, 2013"
2786,13345,"03 1, 2015"
3527,9589,"08 15, 2017"
9825,8973,"10 8, 2008"
14030,5551,"04 11, 2014"
5463,685,"04 1, 2013"
10779,3603,"11 20, 2017"
8469,8603,"05 27, 2017"
2452,4076,"04 1, 2014"
10826,13688,"02 19, 2017"
2568,12901,"02 15, 2017"
2512,9634,"02 14, 2018"
11257,2385,"02 11, 2015"
5428,3958,"07 18, 2013"
8493,14079,"12 23, 2014"
7155,10959,"04 23, 2015"
4201,6316,"09 21, 2014"
10201,6005,"02 7, 2017"
7715,11724,"09 3, 2015"
1013,6151,"04 25, 2007"
3609,1760,"03 3, 2016"
4588,2933,"06 6, 2001"
11872,9609,"10 22, 2013"
12274,13877,"06 15, 2015"
3344,3337,"01 12, 2016"
4630,7882,"05 28, 2013"
10745,8205,"09 27, 2014"
3440,7272,"01 2, 2016"
14136,8197,"01 19, 2015"
13915,12006,"07 18, 2016"
6494,9616,"05 6, 2014"
11407,6006,"11 5, 2016"
772,63,"03 25, 2018"
800,15188,"12 29, 2013"
13031,13617,"10 15, 2014"
7143,13914,"09 30, 2017"
3213,13606,"02 27, 2016"
8183,3432,"09 23, 2015"
3288,15024,"04 22, 2015"
10419,6437,"05 14, 2012"
9356,11109,"03 5, 2015"
5895,4357,"03 3, 2011"
15279,11981,"02 29, 2016"
1796,3310,"05 3, 2013"
5254,11667,"08 9, 2016"
3903,5503,"03 3, 2013"
273,2953,"01 23, 2008"
11030,9086,"11 23, 2013"
6533,4424,"03 31, 2013"
8804,2069,"02 16, 2014"
9478,14774,"09 20, 2017"
6469,11998,"09 17, 2015"
14964,11776,"09 15, 2015"
4130,11289,"05 12, 2014"
4889,436,"05 31, 2013"
10254,4536,"04 15, 2017"
6576,5539,"12 12, 2012"
1785,15197,"02 2, 2014"
4794,4903,"03 22, 2012"
610,2069,"07 7, 2015"
5041,3071,"02 6, 2016"
3339,1021,"09 27, 2016"
1704,1526,"04 5, 2013"
13714,12296,"01 6, 2016"
15284,12601,"09 20, 2016"
6590,8308,"03 28, 2015"
14329,6873,"10 30, 2017"
3544,7194,"04 29, 2015"
5541,8589,"06 7, 2015"
5607,14855,"09 8, 2015"
4637,2369,"03 26, 2013"
4501,8947,"09 19, 2014"
3479,484,"08 10, 2008"
13680,10867,"03 12, 2014"
10369,6958,"04 13, 2017"
3680,7575,"05 19, 2014"
5209,1286,"08 23, 2015"
9687,7545,"04 1, 2014"
7799,14183,"01 9, 2018"
15198,13912,"05 30, 2013"
860,1946,"10 5, 2008"
640,3810,"06 6, 2005"
9791,6905,"04 23, 2015"
5297,9856,"08 4, 2011"
14408,14830,"05 25, 2016"
3928,10134,"03 10, 2015"
7762,12377,"01 19, 2016"
5495,3344,"01 1, 2014"
2941,2541,"09 13, 2013"
3013,10168,"08 3, 2012"
5169,2135,"06 21, 2016"
7915,3104,"04 3, 2017"
13177,13622,"02 14, 2017"
2198,8847,"12 1, 2014"
14233,7733,"01 23, 2015"
4312,276,"01 24, 2015"
